Judul,SKU,Kategori,Standar,Meta_Title,Meta_Description,Custom_H1,Breadcrumb,Canonical,NoIndex,Gambar,Brosur,Spesifikasi,Ringkasan,Konten_Lengkap
Moisture Content Test Set,,Tanah,,Jual Moisture Content Test Set Harga Terbaik,,,,,,,,"Cent O-Gram Balance: 311 gr cap., 0.01 gr sens | Drying Oven: 53 ltr. capacity, internal dimension (l x w x h) 400 x 400 x 330 mm, 220 V, 1400 W | Thin Box: Alumunium, 60 gr capacity | Dessicator: Transparent glass, 24 cm dia, approx",,
CBR Lapangan,,Tanah,,Jual CBR Lapangan Harga Terbaik,Jual CBR Lapangan. Cek harga alat laboratorium teknik sipil bergaransi di Sawarga Teknik.,,,,,,,"Standar: ASTM D-4429 | Mechanical Jack: 5 tons capacity, Cast alumunium housing, hand operated, 2 speeds | Swivel head: Cast alumunium | Penetration Piston: Machine steel, plated, 3 sq.in.cross section area, adjustable height | Extention set: Machined steel, plated, 5 cm, 10 cm, 20 cm, 30 cm, and 60 cm, provided with connecting adaptor | Reference Beam: Steel pipe, 150 cm span | Circular Surcharge Weight: Machine steel, plated, 10"" dia, 10 lbs weight | Slotted Surcharge Weight 1: Machine steel, plated, 8"" dia, 10 lbs weight | Slotted Surcharge Weight 2: Machine steel, plated, 8.5"" dia, 20 lbs weight | Proving Ring 1: 2.000 lbs capacity | Proving Ring 2: 10.000 lbs capacity | Dial Indicator: Range 30 x 0.01 mm | Dial holder: Magnetic",,
Combination Permeameter,,Tanah,,Jual Combination Permeameter Harga Terbaik,Cari Combination Permeameter? Sawarga Teknik jual alat laboratorium teknik sipil dengan harga terbaik.,,,,,,,"Standar: ASTM D-2434 / AASHTO T-215 | Sample Chamber: Transparent fibre glass, 2 1/2"" i.d, 8"" height, compessive spring, cast alumunium body | Funnel: Plastic, wide mouth, with over flow | Frame: Alumunium | Porous Stone: 2 1/2"" diameter | Burette: 50 ml capacity | Graduated Cylinder: 100 ml capacity | Stop Watch: 60 sec sweep",,
Compact Permeameter Test Set 1/30,,Tanah,,Jual Compact Permeameter Test Set 1/30 Harga Terbaik,Dapatkan harga alat laboratorium teknik sipil terbaik. Sawarga Teknik jual Compact Permeameter Test Set asli.,,,,,,,"Compaction Permeameter: 1/30 cu. ft. mold, 4"" i.d, inlet-outlet connector, overflow valve, porous stone | Frame: Cast alumunium base, alumunium column, 3 burette (5, 10, 15 mm diameter) | Graduated Cylinder: 100 ml capacity | Stop Watch: 60 sec. sweep",,
Compact Permeameter Test Set 1/13.33,,Tanah,,Jual Compact Permeameter Test Set 1/13.33 Harga Terbaik,,,,,,,,"Compaction Permeameter: 1/13.33 cu. ft. mold , 6"" i.d, inlet-outlet connector, overflow valve, porous stone | Frame: Cast alumunium base, alumunium column, 3 burette (5, 10, 15 mm diameter) | Graduated Cylinder: 100 ml capacity | Stop Watch: 60 sec. sweep",,
Compaction Test Set,,Tanah,,Jual Compaction Test Set Harga Terbaik,Sawarga Teknik jual Compaction Test Set. Promo harga alat laboratorium teknik sipil berkualitas.,,,,,,,"Standar: ASTM D-698/D-1557; T-99/ T-280 | Standard Proctor Mold: Machine steel, plated, 4"" i.d., 4.584"" height, 2"" height of collar | Modified Proctor Mold: Machine steel, plated, 6"" i.d., 4.584"" height, 2"" height of collar | Standard Proctor Hammer: Machine steel, plated, 12"" drop height, 5,5 lbs weight | Modified Proctor Hammer: Machine steel, plated, 18"" drop height, 10 lbs weight | Extruder: Steel frame, hydraulic jack | Square Pan: Galvanized steel 65 x 65 x 7.5 cm | Thin Box: Alumunium, 60 gr capacity | Graduated Cylinder: Plastic, 1.000 ml capacity | Scoop: Cast Alumunium | Trowel: Pointed type | Straight Edge: 30 cm length | Rubber Mallet: Wooden handle | Steel Wire Brush: Wooden handle",,
Consolidation Test Set,,Tanah,,Jual Consolidation Test Set Harga Terbaik,Jual Consolidation Test Set. Cek harga alat laboratorium teknik sipil bergaransi di Sawarga Teknik.,,,,,,,"Standar: ASTM D-2435 / AASHTO T-216 | Frame: Cast alumunium, two test unit | Loading set: Three alternative lever arm 1:9, 1:10, 1:11 | Consolidometer: Brass, 50.5 mm sample dia., porous stone loading capacity | Loads: 500 gr, 1000 gr, 2000 gr, 4000 gr, 8000 gr | Sample Tube: Machine steel, 50.5 mm dia. galvanized, with extruder | Dial Indicator: Range 10 mm x 0.01 mm | Wire Saw: 10 cm length approx",,
Corps Of Engineer Soil Surface,,Tanah,,Jual Corps Of Engineer Soil Surface Harga Terbaik,Cari Corps Of Engineer Soil Surface? Sawarga Teknik jual alat laboratorium teknik sipil dengan harga terbaik.,,,,,,,"Standar: ASTM D-2937 | Hammer: Machine steel, plated, 10 lbs sliding weight, 20"" falling height | Sampling Tube: Machine steel, plated, 3"" i.d., 2-7/8"" i.d., 2-13/16"" length",,
Direct Shear Electric,,Tanah,,Jual Direct Shear Electric Harga Terbaik,Dapatkan harga alat laboratorium teknik sipil terbaik. Sawarga Teknik jual Direct Shear Electric asli.,,,,,,,"Standar: ASTM D-3080 / AASHTO T-236 | Frame: Welded steel frame electric | Loading Hanger: Machine steel, galvanized, supplied without load | Shear Box: Cast alumunium box, 63.5 mm sample dia porous stone, loading capacity | Loads: Slotted, machine steel, galvanized, 3167 gr weight, 6334 gr weight | Sample Tube: Machine steel, 63.5 mm dia., galvanized, with extruder | Proving Ring: 100 kg capacity | Dial Indicator 1: Range 10mm x 0.01mm | Dial Indicator 2: Range 20mm x 0.01mm | Wire Saw: 10 cm length approx",,
Direct Shear Test Set,,Tanah,,Jual Direct Shear Test Set Harga Terbaik,Sawarga Teknik jual Direct Shear Test Set. Promo harga alat laboratorium teknik sipil berkualitas.,,,,,,,"Standar: ASTM D-3080 / AASHTO T-236 | Frame: Welded steel frame hand operated | Loading Hanger: Machine steel, galvanized, supplied without load | Shear Box: Cast alumunium box, 63.5 mm sample dia porous stone, loading capacity | Loads: Slotted, machine steel, galvanized, 3167 gr weight, 6334 gr weight | Sample Tube: Machine steel, 63.5 mm dia., galvanized, with extruder | Proving Ring: 100 kg capacity | Dial Indicator 1: Range 10mm x 0.01mm | Dial Indicator 2: Range 20mm x 0.01mm | Wire Saw: 10 cm length approx",,
